Qty,Value,Device,Package,Parts,Description,MPN,Supplier,Link
1,,DIODE_SOD-123FL,SOD-123FL,D1,Diode,BAS116H;115,Nexperia,https://www.mouser.de/ProductDetail/771-BAS116H115
1,,PINHD-1X9,1X09,JP6,PIN HEADER,,,
2,,TERMBLOCK_1X2,TERMBLOCK_1X2-3.5MM,J1; J3,3.5mm Terminal block,6;91103E+11,Würth Elektronik,https://www.mouser.de/ProductDetail/710-691103110002
1,,USB_C16PIN,USB-C-16P,J2,USB Type C 16Pin Connector,USB4125-GF-A,GCT,https://www.mouser.de/ProductDetail/640-USB4125-GF-A
1,0,10KOHM-0603-1/10W-1%,603,R1,10kO resistor,,,
6,0.1uF,0.1UF-0603-25V-(+80/-20%),603,C3; C4; C8; C11; C14; C16,0.1µF ceramic capacitors,,,
1,1.0uF,1.0UF-0805-25V-(+80/-20%),805,C7,1µF ceramic capacitors,,,
5,100k,R-US_R0603,R0603,R5; R6; R16; R25; R26,RESISTOR; American symbol,,,
13,10k,10KOHM-0603-1/10W-1%,603,R2; R4; R7; R8; R9; R10; R11; R17; R18; R20; R23; R24; R30,10kO resistor,,,
2,10nF,1.0UF-0805-25V-(+80/-20%),805,C9; C22,1µF ceramic capacitors,,,
3,10uF,10UF-0603-6.3V-20%,603,C5; C6; C20,10.0µF ceramic capacitors,,,
1,10uF,47PF-0603-50V-5%,603,C17,47pF ceramic capacitors,,,
1,19269,AUDIO_3.5MMJACK,4UCONN_19269,X2,3.5MM Audio Jack,SJ2-3593D-SMT-TR,CUI,https://www.mouser.de/ProductDetail/490-SJ2-3593D-SMT-TR
1,1M,R-US_R0603,R0603,R21,RESISTOR; American symbol,,,
1,2.2uF,1.0UF-0805-25V-(+80/-20%),805,C10,1µF ceramic capacitors,,,
1,2.5A/30V,MOSFET-PCHANNELDMG2307L,SOT23-3,Q1,Generic PMOSFET,DMG2307L-7,Diodes Inc,https://www.mouser.de/ProductDetail/621-DMG2307L-7
2,27,27OHM1/10W1%(0603)0603-RES,603,R13; R14,RES-09334,,,
1,309k,10KOHM-0603-1/10W-1%,603,R28,10kO resistor,,,
3,4.7uF,4.7UF-6.3V-10%(0603)0603,0603-CAP,C2; C15; C21,CAP-08280,,,
1,4.7µH,WE-TPC_2813_744029004,WE-TPC_2811/2813_OLD,L1,SMD Shielded Tiny Power Inductor,744029004,Würth Elektronik,https://www.digikey.de/en/products/detail/w%C3%BCrth-elektronik/744029004/1638494
2,47pF,47PF-0603-50V-5%,603,C12; C13,47pF ceramic capacitors,,,
2,5.1k,10KOHM-0603-1/10W-1%,603,R3; R19,10kO resistor,,,
1,500mA,PTCSMD,PTC-1206,F1,Resettable Fuse PTC,1206L050/15YR,Littelfuse,https://www.mouser.de/ProductDetail/576-1206L050-15YR
1,976k,10KOHM-0603-1/10W-1%,603,R27,10kO resistor,,,
1,AOD417,MOSFET-PTO252,TO252,Q3,P-Channel Mosfet,AOD417,Alpha&Omega,https://www.digikey.de/de/products/detail/alpha-omega-semiconductor-inc/AOD417/1855878
1,AP2112K-3.3V,V_REG_LDOSMD,SOT23-5,U3,Voltage Regulator LDO,AP2112K-3.3TRG1,Diodes Inc,https://www.mouser.de/ProductDetail/621-AP2112K-3.3TRG1
1,BAT20J,DIODE-SCHOTTKY-BAT20J,SOD-323,D3,Schottky diodes in SFE's production catalog,BAT20JFILM,STM,https://www.mouser.de/ProductDetail/511-BAT20JFILM
3,CHERRY-MX-LED,CHERRY-MX-LED,CHERRY-MX-LED,S3; S4; S5,,MX1A-E1NW,Cherry,https://www.mouser.de/ProductDetail/540-MX1A-E1NW
1,ESP-WROOM-32,ESP-WROOM-32,ESP-WROOM-32,U2,,ESP32-WROOM-32D-N4,Espressif,https://www.mouser.de/ProductDetail/356-ESP32WROOM-32D
1,FT231XS,FT231XS,SSOP20_L,U4,FTDI FT231X Full Speed USB to Full-handshake UART,FT231XS-R,FTDI,https://www.mouser.de/ProductDetail/895-FT231XS-R
1,MAX98357A,MAX98357A,TQFN-16,IC1,I2S DAC 3.2W (4-8ohm),MAX98357AETE+T,Maxim,https://www.mouser.de/ProductDetail/700-MAX98357AETE%2bT
1,MBT3904DW1T1,MBT3904DW1T1,SC70-6,Q2,MBT3904DW1 Dual NPN Transistors,MBT3904DW1T1G,OnSemi,https://www.mouser.de/ProductDetail/863-MBT3904DW1T1G
1,MCP1640CT-I/CHY,MCP1640CT-I/CHY,SOT95P270X145-6N,U$1,Synchronous Boost Regulator,MCP1640CT-I/CHY,Microchip,https://www.digikey.de/de/products/detail/microchip-technology/MCP1640CT-I-CHY/2258565
1,OS102011MA1Q,OS102011MA1Q,OS102011MA1Q,SW1,OS10201MA1Q through-hole right angle switch,OS102011MA1QN1,C&K,https://www.mouser.de/ProductDetail/611-OS102011MA1QN1
1,PEC11,ENCODER_PLUS_SWITCH_BOURNS_PEC11,PEC11+SWITCH,SW5,Rotary Encoder with Built-In Switch,EC12E20-24P24C-SW,SRPassives,https://www.tme.eu/de/details/ec12e20-24p24c-sw/inkrementale-encoder/sr-passives/
1,RESET,MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM,TACTILE_SWITCH_SMD_4.6X2.8MM,S1,Momentary Switch (Pushbutton) - SPST - Two Circuits,KMR211GLFS,C&K,https://www.mouser.de/ProductDetail/611-KMR211G-LFS
1,USD_CONNECTOR,USD_CONNECTOR,MICRO-SD-SOCKET-PP,JP3,microSD Socket,MEM2061-01-188-00-A,GCT,https://www.mouser.de/ProductDetail/640-MEM20610118800A
,,,,,,,,
Extra components that are not part of the PCB:,,,,,,,,
3,,Sparkfun Keycaps,,,,PRT-15305,Sparkfun,https://www.mouser.de/ProductDetail/474-PRT-15305
1,,Keystone Battery Holder,,,,2478,Keystone,https://www.mouser.de/ProductDetail/534-2478
1,,Speaker,,,,CDS-40304-L100,CUI Devices,https://www.mouser.de/ProductDetail/490-CDS-40304-L100
1,,"2.8"" 320x240px Display",,,,16446,Waveshare,https://www.waveshare.com/2.8inch-resistive-touch-lcd.htm
